Starting: 08-Feb-2019 09:27:40

K =   1, 08-Feb-2019 09:27:40
Elapsed: 2.902100e-02 [s]
	L =   5, 08-Feb-2019 09:27:40
	L =  10, 08-Feb-2019 09:27:42
	L =  15, 08-Feb-2019 09:27:44
	L =  20, 08-Feb-2019 09:27:49
	L =  25, 08-Feb-2019 09:27:55
	L =  30, 08-Feb-2019 09:28:02
	L =  35, 08-Feb-2019 09:28:16
	L =  40, 08-Feb-2019 09:29:46
	L =  45, 08-Feb-2019 09:30:23
	L =  50, 08-Feb-2019 09:31:07
	L =  55, 08-Feb-2019 09:32:18
	L =  60, 08-Feb-2019 09:33:36
	L =  65, 08-Feb-2019 09:36:11
	L =  70, 08-Feb-2019 09:38:18
	L =  75, 08-Feb-2019 09:41:33
	L =  80, 08-Feb-2019 09:44:46
	L =  85, 08-Feb-2019 09:48:56
	L =  90, 08-Feb-2019 09:52:36
	L =  95, 08-Feb-2019 09:57:23
	L = 100, 08-Feb-2019 10:05:06
K =   2, 08-Feb-2019 10:15:21
Elapsed: 2.861488e+03 [s]
	L =   5, 08-Feb-2019 10:15:21
	L =  10, 08-Feb-2019 10:15:58
	L =  15, 08-Feb-2019 10:20:02
	L =  20, 08-Feb-2019 10:21:15
	L =  25, 08-Feb-2019 10:22:22
	L =  30, 08-Feb-2019 10:22:58
	L =  35, 08-Feb-2019 10:23:37
	L =  40, 08-Feb-2019 10:49:04
	L =  45, 08-Feb-2019 10:52:08
	L =  50, 08-Feb-2019 11:52:15
	L =  55, 08-Feb-2019 12:25:15
	L =  60, 08-Feb-2019 12:29:41
	L =  65, 08-Feb-2019 13:29:48
	L =  70, 08-Feb-2019 14:04:43
	L =  75, 08-Feb-2019 14:37:46
	L =  80, 08-Feb-2019 15:38:19
	L =  85, 08-Feb-2019 16:14:04
	L =  90, 08-Feb-2019 16:22:03
	L =  95, 08-Feb-2019 16:44:55
	L = 100, 08-Feb-2019 17:45:50
K =   3, 08-Feb-2019 18:46:10
Elapsed: 3.351039e+04 [s]
	L =   5, 08-Feb-2019 18:46:10
	L =  10, 08-Feb-2019 18:46:15
	L =  15, 08-Feb-2019 18:48:23
	L =  20, 08-Feb-2019 18:53:08
	L =  25, 08-Feb-2019 19:17:25
	L =  30, 08-Feb-2019 19:18:45
	L =  35, 08-Feb-2019 19:20:16
	L =  40, 08-Feb-2019 20:20:20
	L =  45, 08-Feb-2019 20:56:34
	L =  50, 08-Feb-2019 21:56:36
	L =  55, 08-Feb-2019 22:56:51
	L =  60, 08-Feb-2019 23:04:21
	L =  65, 08-Feb-2019 23:36:37
	L =  70, 08-Feb-2019 23:43:36
	L =  75, 09-Feb-2019 00:44:08
	L =  80, 09-Feb-2019 01:06:58
	L =  85, 09-Feb-2019 01:52:12
	L =  90, 09-Feb-2019 02:52:56
	L =  95, 09-Feb-2019 03:13:13
	L = 100, 09-Feb-2019 04:14:43
K =   4, 09-Feb-2019 04:49:03
Elapsed: 6.968339e+04 [s]
	L =   5, 09-Feb-2019 04:49:03
	L =  10, 09-Feb-2019 04:49:05
	L =  15, 09-Feb-2019 04:51:40
	L =  20, 09-Feb-2019 04:57:27
	L =  25, 09-Feb-2019 04:58:15
	L =  30, 09-Feb-2019 05:13:04
	L =  35, 09-Feb-2019 05:16:45
	L =  40, 09-Feb-2019 06:16:49
	L =  45, 09-Feb-2019 07:16:56
	L =  50, 09-Feb-2019 07:52:48
	L =  55, 09-Feb-2019 08:53:15
	L =  60, 09-Feb-2019 09:53:37
	L =  65, 09-Feb-2019 10:09:41
	L =  70, 09-Feb-2019 11:10:10
	L =  75, 09-Feb-2019 12:10:37
	L =  80, 09-Feb-2019 13:11:01
	L =  85, 09-Feb-2019 14:12:00
	L =  90, 09-Feb-2019 15:12:39
	L =  95, 09-Feb-2019 16:13:47
	L = 100, 09-Feb-2019 16:52:01
K =   5, 09-Feb-2019 17:52:35
Elapsed: 1.166950e+05 [s]
	L =   5, 09-Feb-2019 17:52:35
	L =  10, 09-Feb-2019 17:52:38
	L =  15, 09-Feb-2019 17:53:05
	L =  20, 09-Feb-2019 17:59:52
	L =  25, 09-Feb-2019 18:14:17
	L =  30, 09-Feb-2019 18:15:57
	L =  35, 09-Feb-2019 18:19:48
	L =  40, 09-Feb-2019 18:55:24
	L =  45, 09-Feb-2019 19:55:33
	L =  50, 09-Feb-2019 20:51:36
	L =  55, 09-Feb-2019 21:52:08
	L =  60, 09-Feb-2019 22:44:39
	L =  65, 09-Feb-2019 23:45:13
	L =  70, 10-Feb-2019 00:43:31
	L =  75, 10-Feb-2019 01:44:32
	L =  80, 10-Feb-2019 02:45:40
	L =  85, 10-Feb-2019 03:46:21
	L =  90, 10-Feb-2019 04:47:15
	L =  95, 10-Feb-2019 05:47:23
	L = 100, 10-Feb-2019 06:48:48
K =   6, 10-Feb-2019 07:37:57
Elapsed: 1.662174e+05 [s]
	L =   5, 10-Feb-2019 07:37:57
